,year,fips60_06,fips,wtem,wpre,wtem50,wpre50,country,country_code,ki,rgdpl,gdpLCU,gdpSHAREAG,gdpWDIGDPAGR,gdpWDIGDPIND,lnrgdpl_t0,_MENA,_SSAF,_LAC,_WEOFF,_EECA,_SEAS,parent
61,1990,AF,AF,11.892476,3.6315095,10.7787485,32.430206,Afghanistan,AFG,8.294710783580506,1750.7215584989572,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
62,1988,AF,AF,12.330812,3.631845,10.7787485,32.430206,Afghanistan,AFG,4.4613002036586105,2095.9169765558777,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
63,1993,AF,AF,10.952201,3.2632914,10.7787485,32.430206,Afghanistan,AFG,5.171563653455905,1136.8836371289447,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
64,1964,AF,AF,9.759268,3.9014425,10.7787485,32.430206,Afghanistan,AFG,,,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
65,1970,AF,AF,11.71652,2.5648255,10.7787485,32.430206,Afghanistan,AFG,1.9045225779634225,1731.1102724043253,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
66,1999,AF,AF,11.957429,3.0970204,10.7787485,32.430206,Afghanistan,AFG,5.44854310437608,880.5576403711145,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
67,1980,AF,AF,11.571247,3.3000555,10.7787485,32.430206,Afghanistan,AFG,4.356842752083705,2120.9095694305947,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
68,1982,AF,AF,10.671583,3.9213145,10.7787485,32.430206,Afghanistan,AFG,4.4817193610847434,2423.3860605882264,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
69,1991,AF,AF,10.901992,4.5658484,10.7787485,32.430206,Afghanistan,AFG,5.228383300065683,1837.0430694873362,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
70,1994,AF,AF,11.048944,4.184938,10.7787485,32.430206,Afghanistan,AFG,5.217617766117663,1022.0530572122574,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
